Authors,Date,Title,Flight,Journal,Reference,DOI,Link
"Brosius, J.W., Rabin, D.M. and Thomas, R.J.",2008,Rapid Cadence EUNIS-06 Observations of a He II Transient Brightening in the Quiet Sun,EUNIS,ApJ,vol. 682 p.630,10.1086/589281,http://adsabs.harvard.edu/abs/2008ApJ...682..630B
"Brosius, J.W., Rabin, D.M., Thomas, R.J. and Landi, E. ",2008,Analysis of a Solar Coronal Bright Point Extreme Ultraviolet Spectrum from the EUNIS Sounding Rocket Instrument,EUNIS,ApJ,vol. 677 p.781,10.1086/528930,http://adsabs.harvard.edu/abs/2008ApJ...677..781B
"Hysell, D. L.; Michhue, G.; Larsen, M. F.; et al.",2008,Imaging radar observations of Farley Buneman waves during the JOULE II experiment,JOULE II,Annales Geophysicae,vol. 26,10.5194/angeo-26-1837-2008,http://adsabs.harvard.edu/abs/2008AnGeo..26.1837H
"Jordan, S.D. and Brosius, J.W.",2007,EUNIS Results on He II 304 Angstrom Line Formation,EUNIS,The Physics of Chromospheric Plasmas,vol. 368,,http://adsabs.harvard.edu/abs/2007ASPC..368..183J
"Brosius, J.W., Rabin, D.M. and Thomas, R.J.",2007,Doppler Velocities Measured in Coronal Emission Lines from a Bright Point Observed with the EUNIS Sounding Rocket,EUNIS,ApJ Lett,vol. 656 p. L41,10.1086/512185,http://adsabs.harvard.edu/abs/2007ApJ...656L..41B
"Lynch, K.A, J. Semeter, M. Zettergren, P. Kintner, R. Arnoldy, E.A. MacDonald, E. Klatt, J. LaBelle, and M. Samara",2007,Auroral ion outflow: low altitude energization,SIERRA,Annales Geophysicae,vol. 25  ,,https://www.ann-geophys.net/25/1967/2007/
"James, H. G.",2006,Characteristics of field-aligned density depletion irregularities in the auroral ionosphere that duct Z- and X-mode waves,OEDIPUS-C,J. Geophys. Res. Space Physics,vol. 111,10.1029/2006JA011652,http://adsabs.harvard.edu/abs/2006JGRA..111.9315J
"James, H. G.",2006,Radiation from sounder-accelerated electrons,OEDIPUS-C,Adv. In Space Research,vol. 38,10.1016/j.asr.2004.12.009,http://adsabs.harvard.edu/abs/2006AdSpR..38.2533J
"MacDonald, E. A. , K. A. Lynch, M. Widholm, R. Arnoldy, P. M. Kintner, E. M. Klatt, M. Samara, J. LaBelle and G. Lapenta ",2006,In situ measurement of thermal electrons on the SIERRA nightside auroral sounding rocket ,SiERRA,J. Geophys. Res. Space Physics,vol. 111,,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2005JA011493
"Bahcivan, H, Hysell, DL, Larsen, MF, et al.",2005,The 30 MHz imaging radar observations of auroral irregularities during the JOULE campaign,JOULE,J. Geophys. Res. Space Physics,vol. 110,10.1029/2004JA010975,http://adsabs.harvard.edu/abs/2005JGRA..110.5307B
"Gelinas, L. J. , K. A. Lynch, M. C. Kelley, R. L. Collins, M. Widholm, E. MacDonald, J. Ulwick and P. Mace",2005,Mesospheric charged dust layer: Implications for neutral chemistry,,J. Geophys. Res. Space Physics,vol. 110,10.1029/2004JA010503,http://adsabs.harvard.edu/abs/2005JGRA..110.1310G
"Klatt, E. M. , P. M. Kintner, C. E. Seyler, K. Liu, E. A. MacDonald and K. A. Lynch",2005,SIERRA observations of Alfvenic processes in the topside auroral ionosphere,SIERRA,J. Geophys. Res. Space Physics,vol. 110,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2004JA010883
"Lynch, K. A. ,  L. J. Gelinas, M. C. Kelley, R. L. Collins, M. Widholm, D. Rau, E. MacDonald, Y. Liu, J. Ulwick and P. Mace",2005,Multiple sounding rocket observations of charged dust in the polar winter mesosphere ,DustOrions,J. Geophys. Res. Space Physics,vol. 110,10.1029/2004JA010502,http://adsabs.harvard.edu/abs/2005JGRA..110.3302L
"Burchill, J. K., D. J. Knudsen, B. J. J. Bock, R. F. Pfaff Jr., D. D. Wallis, J. H. Clemmons, S. R. Bounds, and H. Stenbaek-Nielsen ",2004,"Core ion interactions with BB ELF, lower hybrid, and Alfven waves in the high-latitude topside ionosphere",GEODESIC,J. Geophys. Res. Space Physics,vol. 109  ,10.1029/2003JA010073,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2003JA010073
"Delamere, P. A., H. C. Stenbaek-Nielsen; R. F. Pfaff; R. E. Erlandson; C. I. Meng; J. I. Zetzer; Y. Kiselev; and B. G. Gavrilov",2004,Dynamics of the Active Plasma Experiment North Star Artificial Plasma Jet,APEX,J. Spacecraft and Rockets,vol. 41,,https://arc.aiaa.org/doi/abs/10.2514/1.12141
"Erlandson, R. E., C. I. Meng, P. K. Swaminathan, C. K. Kumar, V. K. Dogra, B. J. Stoyanov, B. G. Gavrilov, Y. Kiselev, J. I. Zetzer, H. C. Stenbaek-Nielsen, K. A. Lynch, R. F. Pfaff, P. A. Delamere, S. Bounds, N. A. Gatsonis",2004,North Star Plasma-Jet Space Experiment,APEX,J. Spacecraft and Rockets,vol. 41,,https://arc.aiaa.org/doi/abs/10.2514/1.11943
"Horita, R.E. and H.G. James",2004,Two_point studies of fast Z_mode waves with dipoles in the ionosphere,OEDIPUS-C,Radio Science,vol. 39,10.1029/2003RS002994,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2003RS002994
"James, H. G.",2004,Slow Z-mode radiation from sounder-accelerated electrons,OEDIPUS-C,J. Atm and Terr. Physics,vol. 66,10.1016/j.jastp.2004.07.035,http://adsabs.harvard.edu/abs/2004JASTP..66.1755J
"Knudsen, D. J., B. J. J. Bock, S. R. Bounds, J. K. Burchill, J. H. Clemmons, J. D. Curtis, A. I. Eriksson, M. E. Koepke, R. F. Pfaff, D. D. Wallis, and N. Whaley",2004,Lower-hybrid cavity density depletions as a result of transverse ion acceleration localized on the gyroradius scale,"OEDIPUS-C, GEODESIC",J. Geophys. Res. Space Physics,vol. 109  ,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2003JA010089
"Schuck, P. W.  , J. W. Bonnell, and J. L. Pincon",2004,"Properties of lower hybrid solitary structures: A comparison between space observations, a laboratory experiment, and the cold homogeneous plasma dispersion relation","AMICIST, TOPAZ III, PHAZE II",J. Geophys. Res. Space Physics,vol. 109 p. A01310,10.1029/2002JA009673,http://onlinelibrary.wiley.com/doi/10.1029/2002JA009673/abstract
"Burchill, J. K.",2003,High-resolution Observations of Core and Suprathermal Ions in the Auroral Ionosphere: Techniques and Results from the GEODESIC Sounding Rocket,GEODESIC,PhD Thesis,,,http://adsabs.harvard.edu/abs/2003PhDT.......202B
"Gavrilov, B. G., J. I. Zetzer, I. M. Podgorny, D. B. Sobyanin, C. I. Meng, R. E. Erlandson, H. C. Stenbaek-Nielsen, R. F. Pfaff, K. A. Lynch",2003,Plasma jet motion across the geomagnetic field in the North Star active geophysical experiment,North Star,Cosmic Research,vol. 41,,https://link.springer.com/article/10.1023/A:1022399412544
"James, H. G.",2003,Electromagnetic whistler-mode radiation from a dipole in the ionosphere,OEDIPUS-C,Radio Science,vol. 38,,http://ieeexplore.ieee.org/document/7770942/
"Schuck, P. W. , J. W. Bonnell, and P. M. Kintner",2003,A review of lower hybrid solitary structures,"MARIE, TOPAZ III",IEEE Trans. Plasma Sci.,vol. 31, 10.1109/TPS.2003.822043,http://ieeexplore.ieee.org/document/1265337/
"Erlandson, R. E., C. I. Meng, J. I. Zetzer, Y. Kiselev, B. G. Gavrilov, H. C. Stenbaek-Nielsen, K. A. Lynch, R. F. Pfaff, P. K. Swaminathan, C. K. Kumar, V. K. Dogra, B. J. Stoyanov, P. A. Delamere, S. Bounds, N. A. Gatsonis",2002,The Apex North Star Experiment: Observations of high-speed plasma jets injected perpendicular to the magnetic field,APEX,Adv. In Space Research,vol. 29,10.1016/S0273-1177(02)00183-7,http://adsabs.harvard.edu/abs/2002AdSpR..29.1317E
"Schuck, P. W., G. I. Ganguli and P. M. Kintner",2002,The role of lower hybrid wave collapse in the auroral ionosphere,TOPAZ III,Phys. Rev. Lett.,vol. 89 p. 065002,10.1103/PhysRevLett.89.065002,https://journals.aps.org/prl/pdf/10.1103/PhysRevLett.89.065002
"Hallinan, T.J. and H.C. Stenbaek-Nielsen",2001,The connection between acceleration and auroral morphology,,Phys. Chem. Earth,vol. 26,,
"Hallinan, Thomas J. , J. Kimball, H. C. Stenbaek-Nielsen, K. Lynch, R. Arnoldy, J. Bonnell, P. Kintner",2001,"Relation between optical emissions, particles, electric fields, and Alfven waves in a multiple rayed arc",,J. Geophys. Res. Space Physics,vol. 106,,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2000JA000321
"Huang, C.Y., W.J. Burke, D.A. Hardy, M.P. Gough, H.G. James, E. Villalon and L.C. Gentile",2001,Electron acceleration by megahertz waves during OEDIPUS C,OEDIPUS-C,J. Geophys. Res. Space Physics,vol. 106,,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/1999JA000286
"James, H.G. and K.G. Balmain",2001,Guided electromagnetic waves observed on a conducting ionospheric tether,OEDIPUS-C,Radio Science,vol. 36 ,,https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2000RS002583
"Franchuk, S.",2000,OEDIPUS-C Observations of Auroral Field-Aligned Currents,OEDIPUS-C,MSc thesis,,,https://prism.ucalgary.ca/handle/1880/40475
"James, H. G.",2000,Electrostatic resonance-cone waves emitted by a dipole in the ionosphere,OEDIPUS-C,IEEE Trans. Antennae Prop.,vol. 48,10.1109/8.898766,http://adsabs.harvard.edu/abs/2000ITAP...48.1340J
"James, H. G. ",2000,Ionospheric duct parameters from a dual-payload radio-frequency sounder,OEDIPUS-C,J. Geophys. Res. Space Physics,vol. 105  ,10.1029/2000JA000079,http://adsabs.harvard.edu/abs/2000JGR...10520909J
"Kintner, P. M. , P. W. Schuck, and J. R. Franz",2000,Spaced measurements and progress in understanding space plasma waves,various,Phys. Plasmas,vol. 7 p. 2135,10.1063/1.874033,http://aip.scitation.org/doi/10.1063/1.874033
"Kintner,P. M.,  J. Franz, P. W. Schuck, and E. Klatt",2000, Interferometric coherency determination of wavelength - What are BB-ELF waves?,"PHAZE II, TOPAZ III",J. Geophys. Res. Space Physics,vol. 105 p. 21237,10.1029/1999JA000323,http://onlinelibrary.wiley.com/doi/10.1029/1999JA000323/abstract
"Ivchenko, Nickolay , Goran Marklund, Kristina Lynch, David Pietrowski, Roy Torbert, Fritz Primdahl and Aarne Ranta",1999,Quasiperiodic oscillations observed at the edge of an auroral arc by auroral turbulence,AT2,Geophys. Res. Lett.,vol. 26,10.1029/1999GL003588,http://adsabs.harvard.edu/abs/1999GeoRL..26.3365I
"James, H. G.",1999,Whistler-mode radiation from a dipole,OEDIPUS-C,Adv. In Space Research,vol. 24,,https://www.sciencedirect.com/science/article/pii/S0273117799005633
"James, H.G., V.I. Sotnikov, W.J. Burke and C.Y. Huang",1999,OEDIPUS-C observations of electrons accelerated by radio frequency fields at whistler-mode frequencies,OEDIPUS-C,Phys. Plasmas,vol. 6,10.1063/1.873668,http://adsabs.harvard.edu/abs/1999PhPl....6.4058J
"Lynch,K. A.,  R. L. Arnoldy, P. M. Kintner, P. W. Schuck, J. W. Bonnell, and V. N. Coffey",1999,Auroral ion acceleration from lower hybrid solitary structures: a summary of sounding rocket observations,"AMICIST, TOPAZ III, PHAZE II",J. Geophys. Res. Space Physics,vol. 104 p. 28515,10.1029/1999JA900289,http://adsabs.harvard.edu/abs/1999JGR...10428515L
"Knudsen, D.J., D.D. Wallis, and H.G. James",1999,Tethered Two-Point Observations of Solitary Auroral Density Cavities,OEDIPUS-C,Geophys. Res. Lett.,vol. 26,,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/1999GL003605
"Lynch, K. A. , D. Pietrowski, R. B. Torbert, N. Ivchenko, G. Marklund and F. Primdahl ",1999,Multiple_point electron measurements in a nightside auroral arc: Auroral turbulence II particle observations,AT2,Geophys. Res. Lett.,vol. 26,,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/1999GL900599
"Lynch, K. A. , R. L. Arnoldy, P. M. Kintner, P. Schuck, J. W. Bonnell, V., Coffey ",1999,Auroral ion acceleration from lower hybrid solitary structures: A summary of sounding rocket observations,"Topaz3, Amicist, and Phaze2 ",J. Geophys. Res. Space Physics,vol. 104  ,10.1029/1999JA900289,http://adsabs.harvard.edu/abs/1999JGR...10428515L
"P. W. Schuck, C. E. Seyler, J. L. Pincon, John Bonnell, and P. M. Kintner",1998,"Theory, simulation and observation of discrete eigenmodes associated with lower hybrid solitary structures",TOPAZ III,J. Geophys. Res. Space Physics,vol. 103 p. 6935,10.1029/97JA02922,http://adsabs.harvard.edu/abs/1998JGR...103.6935S
"J. W. Bonnell, P. W. Schuck, J.-L. Picon, C. E. Seyler, and P. M. Kintner",1998,Observation of bound states and counter-rotating lower hybrid eigenmodes in the auroral ionosphere,PHAZE II ,Phys. Rev. Lett.,vol. 80 p. 5734,,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.80.5734
"Gough, M.P., D.A. Hardy, and H.G. James",1998,First results from the energetic particle instrument on the OEDIPUS-C sounding rocket,OEDIPUS-C,Adv. In Space Research,vol. 21,,https://www.sciencedirect.com/science/article/pii/S0273117797010089
"K. L. McAdams, J. LaBelle, P. W. Schuck, and P. M. Kintner",1998,PHAZE II observations of lower hybrid burst structures occurring on density gradients,PHAZE II,Geophys. Res. Lett.,vol. 25 p. 3091,10.1029/98GL02424,http://adsabs.harvard.edu/abs/1998GeoRL..25.3091M
"J. L. Pincon, P. M. Kintner, P. W. Schuck and C. E. Seyler",1997,Observation and analysis of lower hybrid solitary structures as rotating eigenmodes,AMICIST ,J. Geophys. Res. Space Physics,vol. 102 p. 17283,10.1029/97JA00800,http://adsabs.harvard.edu/abs/1997JGR...10217283P
