ID,Science,PI,Institution,Name,LaunchSite,Date,Year,Apogee,Vehicle,Impact
40.023,UE,Lynch,Dartmouth University,CASCADES2,PFRR,3/20/2009,2009,564.08,BLACK BRANT XII,1157.9
41.08,NP,Murbach,NASA/Ames,SOAREX-VII,WFF,5/28/2009,2009,134.08,TERRIER MK 12/IMPROVED ORION,67
41.083,UO,Koehler,Colorado Space Grant Consortium,RockOn,WFF,6/26/2009,2009,117.03,TERRIER MK 12/IIMPROVED ORION,65.7
36.244,UG,Green,University of Colorado,DICE,WSMR,6/27/2009,2009,327.2,BLACK BRANT IX MOD 2,82
36.254,NP,Cheatwood,NASA/Langley Research Center,IRVE II,WFF,8/17/2009,2009,218.2,BLACK BRANT IX MOD 2,167.6
36.221,DS,Moses,Naval Research Lab,HERSCHEL,WSMR,9/14/2009,2009,315.1,BLACK BRANT IX MOD 2,75.8
36.252,UH,Cash,University of Colorado,,WSMR,11/14/2009,2009,282.1,BLACK BRANT IX MOD 2,86.8
12.068,GT,Hickman,NASA/Wallops Flight Facility,Mesquito,WFF,12/16/2009,2009,9.9,M26 motor/Dart,
41.086,UE,Erdman,Embry Riddle University,HAROH,WSMR,12/17/2009,2009,117.5,TERRIER MK 12/IMP ORION W/SPIN MOTOR,75.1
41.084,UE,Conde,University of Alaska Fairbanks,,PFRR,2/9/2010,2010,165.1,TERRIER MK 70/IMPROVED ORION W/CLAMP RELEASE,106.9
40.025,UE,LaBelle,Dartmouth University,CHARM2,PFRR,2/16/2010,2010,802.7,BLACK BRANT XII,1105.4
12.067,UT,Hall,NASA/Wallops Flight Facility,,WFF,3/27/2010,2010,270,TERRIER IMPROVED MALEMUTE,225.4
36.258,US,Woods,University of Colorado,EVE,WSMR,5/3/2010,2010,284.3,BLACK BRANT IX MOD 2,76.9
36.27,UG,Green,University of Colorado,DICE,WSMR,5/21/2010,2010,342.8,BLACK BRANT IX MOD 2,85.2
41.088,UO,Koehler,Colorado Space Grant Consortium,RockOn,WFF,6/24/2010,2010,116.9,TERRIER MK 12/IMPROVED ORION,69.9
36.265,UG,Bock,CalTech/Jet Propulsion Lab,CIBER,WSMR,7/11/2010,2010,327,BLACK BRANT IX MK1 MOD 1,80.9
36.213,NS,Davis,NASA/Marshall Space Flight Center,SUMI,WSMR,7/30/2010,2010,281.3,BLACK BRANT IX MOD 2,84.3
12.073,GT,Hall,NASA/Wallops Flight Facility,,WFF,8/4/2010,2010,642,BLACK BRANT X,812.8
36.219,US,Hassler,Southwest Research Institute,RAISE,WSMR,8/23/2010,2010,295.5,BLACK BRANT IX MOD 2,86.4
41.082,NP,Bull,NASA/Wallops Flight Facility,Sub-TEC III,WFF,9/21/2010,2010,125,TERRIER MK 12/IIMPROVED ORION,56.6
41.087,NT,Heyne,Jet Propulsion Lab,TRaiNED,WSMR,12/6/2010,2010,124.1,TERRIER MK 12/IMP ORION W/SPIN MOTORS,82.5
40.026,UE,Lessard,University of New Hampshire,RENU,ARR,12/12/2010,2010,340.7,BB XII,1515
36.257,UG,Green,University of Colorado,FIRE,PFRR,1/28/2011,2011,327.4,BLACK BRANT IX MK 1 MOD 2,271.2
36.256,UE,Bailey,Virginia Tech University,PolarNOx,PFRR,2/5/2011,2011,256.8,BLACK BRANT IX MK 1 MOD 2,262.6
36.275,US,Woods,University of Colorado,EVE2,WSMR,3/23/2011,2011,283,BLACK BRANT IX MOD 2,81.4
36.278,GT,Brodell,NASA/Wallops Flight Facility,,PFRR,4/27/2011,2011,267.6,BLACK BRANT IX MOD 2,263.5
41.096,GP,Hall,NASA/Wallops Flight Facility,SubTechV,WFF,6/9/2011,2011,118.4,TERRIER MK 12/IMPROVED ORION,49.8
41.095,UO,Koehler,Colorado Space Grant Consortium,RockOn,WFF,6/23/2011,2011,119.7,TERRIER MK 12/IMPROVED ORION W/CLAMP RELEASE,65.7
41.091,GE,Pfaff,NASA/Goddard Space Flight Center,Daytime Dynamo,WFF,7/10/2011,2011,150.4,TERRIER MK 70/IMPROVED ORION W/CLAMP RELEASE,149.5
21.141,GE,Pfaff,NASA/Goddard Space Flight Center,Daytime Dynamo,WFF,7/10/2011,2011,157.7,BLACK BRANT (4 FIN) Mk1,209.7
41.092,GO,Rosanova,NASA/Wallops Flight Facility,RockSatX,WFF,7/21/2011,2011,121.3,TERRIER MK 12/IMPROVED ORION DRAG SEPARATION,58.6
12.076,GT,Brodell,NASA/Wallops Flight Facility,,WFF,9/8/2011,2011,16.78,Terrier Mk 12,10.8
36.225,UG,Chakrabarti,Boston University,PICTURE,WSMR,10/8/2011,2011,222.9,BLACK BRANT IX MOD 2,82.5
41.094,UE,Robertson,University of Colorado,CHAMPS,ARR,10/11/2011,2011,123.6,TERRIER MK 12/IMPROVED ORION,118
41.093,UE,Robertson,University of Colorado,CHAMPS,ARR,10/13/2011,2011,123.6,TERRIER MK 12/IMPROVED ORION,118.2
36.264,UH,McCammon,University of Wisconsin,XQC,WSMR,11/6/2011,2011,286.8,BLACK BRANT IX MK1 MOD 0,75.9
36.274,UH,Cash,University of Colorado,EXOS,WSMR,12/9/2011,2011,255.1,BLACK BRANT MK1 MOD 2,67.1
12.074,GT,Hall,NASA/Wallops Flight Facility,,WFF,1/11/2012,2012,260.2,Terrier Improved Malemute,238.6
36.273,UE,Powell,Cornell University,MICA,PFRR,2/19/2012,2012,325.2,BLACK BRANT MK1 MOD 0,318.7
36.277,UG,Bock,CalTech/Jet Propulsion Lab,CIBER,WSMR,3/22/2012,2012,326.2,BLACK BRANT IX MOD 2,88.5
41.098,UE,Larsen,Clemson University,ATREX,WFF,3/27/2012,2012,161.9,TERRIER MK 70/IMPROVED ORION,103.2
46.002,UE,Larsen,Clemson University,ATREX,WFF,3/27/2012,2012,198.6,TERRIER MK 12/IMPROVED MALEMUTE,288.4
46.003,UE,Larsen,Clemson University,ATREX,WFF,3/27/2012,2012,239.5,TERRIER MK 70/IMPROVED MALEMUTE,378
45.004,UE,Larsen,Clemson University,ATREX,WFF,3/27/2012,2012,338,TERRIER MK 70/ORIOLE,584.4
