Recipient,Name,Year,University,Advisor,Program,Rocket1,Rocket2,Rocket3,Rocket4,Rocket5
190,"Weiser, Heinz",1977,Johns Hopkins,"Moos, Warren",,21.054,26.006,26.039,26.054,
189,"Voss, Henry D.",1977,Illinois,"Bowhill, Sidney A.",,,,,,
188,"Vitz, Robert C.",1977,Johns Hopkins,"Moos, Warren",,26.039,26.051,4.206,,
187,"Preidhorsky, William",1977,CIT,"Garmire, Gordon P.",,26.038,,,,
186,"Park, Hongwood",1977,Johns Hopkins,"Anderson, Andrew B.",,4.344,13.077,,,
185,"Miller, Kent L.",1977,Illinois,"Bowhill, Sidney A.",,,,,,
184,"McClaughlin, Robert W.",1977,Pittsburgh,"Zipf, Edward C.",Phys. & Astro,,,,,
183,"Grossman, Barry G.",1977,Illinois,"Bowhill, Sidney A.",,,,,,
182,"Espy, Patrick",1977,Pittsburgh,"Zipf, Edward C.",Auroral Studies,,,,,
181,"Edmonson, B.",1977,Johns Hopkins,Fastie,,13.077,,,,
180,"Dusenberry, Paul",1977,New Hampshire,"Arnoldy, Roger",,18.152,,,,
179,"Carnahan, Byron C.",1977,Pittsburgh,"Zipf, Edward C.",Ionos. Data Interpretation,,,,,
178,"Weinstein, Arthur F.",1976,Johns Hopkins,"Feldman, Paul D.",,26.039,,,,
177,"Shoeberl, Mark R.",1976,Illinois,"Bowhill, Sidney A.",,,,,,
176,"Sanders, Wilton",1976,Wisconsin,"Kraushaar, Bill",,13.083,,,,
175,"Reyrvik, Ola",1976,Alaska,"Davis, John M.",Auroral Physics,,,,,
174,"Pulliam, Don",1976,Wisconsin,Scherb,,8.065,,,,
173,"Panek, Robert",1976,Wisconsin,Code,Ultraviolet Astronomy,,,,,
172,"McClintock, William E.",1976,Johns Hopkins,"Feldman, Paul D.",,26.006,13.047,,,
171,"Levine, Alan",1976,MIT,"Rappaport, Saul B.",X-ray Astr,,,,,
170,"Hill, Reginald",1976,Illinois,"Bowhill, Sidney A.",,,,,,
169,"Hess, Garry C.",1976,Illinois,"Bowhill, Sidney A.",,,,,,
168,"Hallinan, Thomas",1976,Alaska,"Davis, John M.",Auroral Physics,,,,,
167,"Estler, Ronald",1976,Johns Hopkins,"Feldman, Paul D.",,4.344,,,,
166,"Davis, John E.",1976,Wisconsin,Code,Ultraviolet Astronomy,,,,,
165,"Burstein, Paul H.",1976,Wisconsin,"Kraushaar, Bill",,13.084,,,,
164,"Walker, David",1975,New Hampshire,"Arnoldy, Roger",,18.152,,,,
163,"Takacs, Peter Z.",1975,Johns Hopkins,"Feldman, Paul D.",FUV Aeronomy,4.32,13.096,26.023,,
162,"Swenson, Gary R.",1975,Michigan,"Sharp, William E.",Aeronomy,4.329,,,,
161,"Simmons, David J.",1975,Maryland,Matthews,Auroral Physics,,,,,
160,"Phillips, Edward",1975,Southern California,Judge,Atmospheric Gas,18.11,,,,
159,"Parady, Bodo",1975,Minnesota,Cahill & Nier,,,,,,
158,"Murphree, John S.",1975,Rice,"Anderson, Andrew B.",,18.158,,,,
157,"Morgan, Barry",1975,New Hampshire,"Arnoldy, Roger",Auroral,,,,,
156,"Moore, William",1975,CIT,"Garmire, Gordon P.",,13.064,,,,
155,"Long, Knox",1975,CIT,"Garmire, Gordon P.",,13.104,13.106,,,
154,"Holberg, Jay",1975,"California, Berkeley","Bowyer, C. S.",Diffuse Far UV Background,,,,,
153,"Hinton, B. B.",1975,Michigan,Carignan,Aeronomy,,,,,
152,"Henry, Patrick",1975,"California, Berkeley","Bowyer, C. S.",EUV Survey,,,,,
151,"Eaton, Joel",1975,Wisconsin,Code,Ultraviolet Astronomy,,,,,
150,"Cesiano, Jean",1975,Rice,"Anderson, Andrew B.",,18.111,,,,
149,"Casserly, Raymond T. Jr.",1975,Rice,"Anderson, Andrew B.",,18.112,,,,
148,"Woodworth, Joseph R.",1974,Johns Hopkins,"Moos, Warren",,,,,,
147,"Wingert, David",1974,Princeton,"Jenkins, Edward B.",,4.27,,,,
146,"Williamson, Fred",1974,Wisconsin,"Kraushaar, Bill",,13.082,,,,
145,"Wasser, Barry",1974,Pittsburgh,"Zipf, Edward C.",Atomic Oxygen,,,,,
144,"Wallis, Donald D.",1974,Alaska,"Davis, John M.",Auroral Physics,,,,,
143,"Vanderhill, Matthew",1974,Wisconsin,"Kraushaar, Bill",,,,,,
142,"Unger, Gladys",1974,Pittsburgh,"Zipf, Edward C.",Dissociative Recombination,,,,,
141,"Silva, Luiz Costa DA.",1974,Illinois,"Bowhill, Sidney A.",,,,,,
140,"Potter, Wentworth",1974,New Hampshire,"Cahill, Laurence J. Jr.",Auroral,,,,,
139,"Pellerini, Charles",1974,Catholic,Werntz,Cosmic Rays,,,,,
138,"Odell, Andrew P.",1974,Wisconsin,Code,Ultraviolet Astronomy,,,,,
